Temperature dependence of enthalpy
  T       Zn(NO3)2         NH2CH2COOH       C6H8O7           O2               ZnO              CO2              H2O              N2               C                
375       -112904.900000   -124475.870000   -364604.320000   549.668979       -83036.929481    -93324.639784    -57170.160170    540.960994       199.284212       
376       -112868.600000   -124452.180000   -364550.480000   556.920791       -83026.307470    -93314.742227    -57161.936440    548.043837       202.295473       
377       -112832.300000   -124428.490000   -364496.640000   564.175108       -83015.676037    -93304.834820    -57153.710250    555.128032       205.315550       
378       -112796.000000   -124404.800000   -364442.800000   571.431918       -83005.035247    -93294.917623    -57145.481600    562.213575       208.344381       
379       -112759.700000   -124381.110000   -364388.960000   578.691209       -82994.385165    -93284.990698    -57137.250490    569.300463       211.381907       
380       -112723.400000   -124357.420000   -364335.120000   585.952970       -82983.725854    -93275.054105    -57129.016920    576.388691       214.428067       
381       -112687.100000   -124333.730000   -364281.280000   593.217189       -82973.057376    -93265.107903    -57120.780890    583.478257       217.482802       
382       -112650.800000   -124310.040000   -364227.440000   600.483854       -82962.379796    -93255.152152    -57112.542400    590.569156       220.546055       
383       -112614.500000   -124286.350000   -364173.600000   607.752954       -82951.693174    -93245.186910    -57104.301450    597.661386       223.617767       
384       -112578.200000   -124262.660000   -364119.760000   615.024479       -82940.997571    -93235.212234    -57096.058040    604.754944       226.697882       
385       -112541.900000   -124238.970000   -364065.920000   622.298416       -82930.293048    -93225.228183    -57087.812170    611.849825       229.786341       
386       -112505.600000   -124215.280000   -364012.080000   629.574755       -82919.579665    -93215.234811    -57079.563840    618.946027       232.883091       
387       -112469.300000   -124191.590000   -363958.240000   636.853485       -82908.857481    -93205.232176    -57071.313050    626.043546       235.988075       
388       -112433.000000   -124167.900000   -363904.400000   644.134596       -82898.126554    -93195.220333    -57063.059800    633.142379       239.101237       
389       -112396.700000   -124144.210000   -363850.560000   651.418076       -82887.386943    -93185.199336    -57054.804090    640.242523       242.222525       
390       -112360.400000   -124120.520000   -363796.720000   658.703915       -82876.638705    -93175.169240    -57046.545920    647.343974       245.351885       
391       -112324.100000   -124096.830000   -363742.880000   665.992102       -82865.881897    -93165.130098    -57038.285290    654.446731       248.489262       
392       -112287.800000   -124073.140000   -363689.040000   673.282628       -82855.116575    -93155.081964    -57030.022200    661.550789       251.634605       
393       -112251.500000   -124049.450000   -363635.200000   680.575483       -82844.342795    -93145.024890    -57021.756650    668.656145       254.787861       
394       -112215.200000   -124025.760000   -363581.360000   687.870655       -82833.560612    -93134.958928    -57013.488640    675.762796       257.948979       
395       -112178.900000   -124002.070000   -363527.520000   695.168135       -82822.770080    -93124.884130    -57005.218170    682.870740       261.117908       
396       -112142.600000   -123978.380000   -363473.680000   702.467913       -82811.971254    -93114.800548    -56996.945240    689.979974       264.294597       
397       -112106.300000   -123954.690000   -363419.840000   709.769980       -82801.164186    -93104.708230    -56988.669850    697.090494       267.478996       
398       -112070.000000   -123931.000000   -363366.000000   717.074325       -82790.348931    -93094.607228    -56980.392000    704.202297       270.671056       
399       -112033.700000   -123907.310000   -363312.160000   724.380939       -82779.525539    -93084.497591    -56972.111690    711.315382       273.870727       
400       -111997.400000   -123883.620000   -363258.320000   731.689812       -82768.694064    -93074.379368    -56963.828920    718.429744       277.077962       
401       -111961.100000   -123859.930000   -363204.480000   739.000936       -82757.854556    -93064.252607    -56955.543690    725.545381       280.292711       
402       -111924.800000   -123836.240000   -363150.640000   746.314300       -82747.007067    -93054.117357    -56947.256000    732.662290       283.514928       
403       -111888.500000   -123812.550000   -363096.800000   753.629895       -82736.151646    -93043.973665    -56938.965850    739.780469       286.744566       
404       -111852.200000   -123788.860000   -363042.960000   760.947713       -82725.288344    -93033.821578    -56930.673240    746.899914       289.981577       
405       -111815.900000   -123765.170000   -362989.120000   768.267744       -82714.417209    -93023.661142    -56922.378170    754.020623       293.225915       
406       -111779.600000   -123741.480000   -362935.280000   775.589980       -82703.538291    -93013.492405    -56914.080640    761.142594       296.477536       
407       -111743.300000   -123717.790000   -362881.440000   782.914410       -82692.651639    -93003.315412    -56905.780650    768.265823       299.736393       
408       -111707.000000   -123694.100000   -362827.600000   790.241028       -82681.757299    -92993.130207    -56897.478200    775.390308       303.002442       
409       -111670.700000   -123670.410000   -362773.760000   797.569823       -82670.855319    -92982.936836    -56889.173290    782.516047       306.275638       
410       -111634.400000   -123646.720000   -362719.920000   804.900788       -82659.945747    -92972.735343    -56880.865920    789.643036       309.555937       
411       -111598.100000   -123623.030000   -362666.080000   812.233913       -82649.028629    -92962.525773    -56872.556090    796.771274       312.843297       
412       -111561.800000   -123599.340000   -362612.240000   819.569191       -82638.104011    -92952.308168    -56864.243800    803.900757       316.137673       
413       -111525.500000   -123575.650000   -362558.400000   826.906612       -82627.171938    -92942.082572    -56855.929050    811.031484       319.439023       
414       -111489.200000   -123551.960000   -362504.560000   834.246170       -82616.232456    -92931.849027    -56847.611840    818.163451       322.747305       
415       -111452.900000   -123528.270000   -362450.720000   841.587854       -82605.285609    -92921.607576    -56839.292170    825.296656       326.062477       
416       -111416.600000   -123504.580000   -362396.880000   848.931658       -82594.331443    -92911.358260    -56830.970040    832.431097       329.384497       
417       -111380.300000   -123480.890000   -362343.040000   856.277573       -82583.370000    -92901.101122    -56822.645450    839.566772       332.713325       
418       -111344.000000   -123457.200000   -362289.200000   863.625592       -82572.401324    -92890.836201    -56814.318400    846.703678       336.048919       
